gene	sample	condition	age	cpm
ENSOCUG00000000146	rabK11	control	kitten	34.6747718522539
ENSOCUG00000000146	rabK12	control	kitten	33.2182198640513
ENSOCUG00000000146	rabK13	RHDV-1_12	kitten	31.8536568867296
ENSOCUG00000000146	rabK14	control	kitten	30.6491575372023
ENSOCUG00000000146	rabK1	RHDV-1_12	kitten	36.4071195350574
ENSOCUG00000000146	rabK2	control	kitten	43.194896745587
ENSOCUG00000000146	rabK375	RHDV-2_24	kitten	70.1148644682602
ENSOCUG00000000146	rabK376	RHDV-2_24	kitten	78.1658931405827
ENSOCUG00000000146	rabK377	RHDV-2_24	kitten	78.0262820295563
ENSOCUG00000000146	rabK378	RHDV-2_24	kitten	69.1003007167683
ENSOCUG00000000146	rabK379	RHDV-2_12	kitten	45.4507958956552
ENSOCUG00000000146	rabK380	RHDV-2_12	kitten	44.6376731431681
ENSOCUG00000000146	rabK381	RHDV-2_12	kitten	35.4658718498874
ENSOCUG00000000146	rabK3	control	kitten	49.0194225076861
ENSOCUG00000000146	rabK4	RHDV-1_24	kitten	56.4486806229782
ENSOCUG00000000146	rabK5	RHDV-1_12	kitten	31.4587142253836
ENSOCUG00000000146	rabK6	RHDV-1_24	kitten	35.7158055570703
ENSOCUG00000000146	rabK7	RHDV-1_12	kitten	30.7917800376947
ENSOCUG00000000146	rabK8	RHDV-1_24	kitten	44.2551577365003
ENSOCUG00000000146	rabK9	control	kitten	37.2128457475662
ENSOCUG00000000161	rabA130	control	adult	10.2296617768168
ENSOCUG00000000161	rabA440	control	adult	13.7180594058848
ENSOCUG00000000161	rabA443	RHDV-1_24	adult	18.2114117763253
ENSOCUG00000000161	rabA444	RHDV-1_12	adult	11.3681747572306
ENSOCUG00000000161	rabA445	control	adult	7.48021704586822
ENSOCUG00000000161	rabA446	control	adult	7.78127930798207
ENSOCUG00000000161	rabA447	control	adult	6.85497569666552
ENSOCUG00000000161	rabA448	RHDV-1_24	adult	29.3721752956182
ENSOCUG00000000161	rabA449	RHDV-1_24	adult	34.4216154559157
ENSOCUG00000000161	rabA450	RHDV-1_24	adult	11.2290302382536
ENSOCUG00000000161	rabA451	RHDV-1_12	adult	14.1737205749525
ENSOCUG00000000161	rabA452	RHDV-1_12	adult	16.8658797626143
ENSOCUG00000000161	rabK10	RHDV-1_24	kitten	15.3305861629358
