gene	sample	condition	age	cpm
ENSOCUG00000000001	rabA130	control	adult	48.6015051222209
ENSOCUG00000000001	rabA440	control	adult	5.720486310956
ENSOCUG00000000001	rabA443	RHDV-1_24	adult	14.4304958366038
ENSOCUG00000000001	rabA444	RHDV-1_12	adult	13.5242079008433
ENSOCUG00000000001	rabA445	control	adult	23.193693122088
ENSOCUG00000000001	rabA446	control	adult	35.5623756802817
ENSOCUG00000000001	rabA447	control	adult	24.4512125243266
ENSOCUG00000000001	rabA448	RHDV-1_24	adult	9.95997965476414
ENSOCUG00000000001	rabA449	RHDV-1_24	adult	8.08668554760308
ENSOCUG00000000001	rabA450	RHDV-1_24	adult	39.1204924429478
ENSOCUG00000000001	rabA451	RHDV-1_12	adult	21.1540115347975
ENSOCUG00000000001	rabA452	RHDV-1_12	adult	35.3246481694755
ENSOCUG00000000001	rabK10	RHDV-1_24	kitten	7.88121683024164
ENSOCUG00000000001	rabK11	control	kitten	7.34412716991761
ENSOCUG00000000001	rabK12	control	kitten	5.02397456183169
ENSOCUG00000000001	rabK13	RHDV-1_12	kitten	7.65712905930999
ENSOCUG00000000001	rabK14	control	kitten	13.8353563804299
ENSOCUG00000000001	rabK1	RHDV-1_12	kitten	6.14721875621659
ENSOCUG00000000001	rabK2	control	kitten	2.52637769838669
ENSOCUG00000000001	rabK375	RHDV-2_24	kitten	0.932533525762397
ENSOCUG00000000001	rabK376	RHDV-2_24	kitten	1.01367872948882
ENSOCUG00000000001	rabK377	RHDV-2_24	kitten	6.06613824680823
ENSOCUG00000000001	rabK378	RHDV-2_24	kitten	0.724195291354777
ENSOCUG00000000001	rabK379	RHDV-2_12	kitten	1.56054234834868
ENSOCUG00000000001	rabK380	RHDV-2_12	kitten	0.883914319666695
ENSOCUG00000000001	rabK381	RHDV-2_12	kitten	2.156206045381
ENSOCUG00000000001	rabK3	control	kitten	8.69554094116122
ENSOCUG00000000001	rabK4	RHDV-1_24	kitten	3.90198253154227
ENSOCUG00000000001	rabK5	RHDV-1_12	kitten	2.31953653274717
ENSOCUG00000000001	rabK6	RHDV-1_24	kitten	12.2147077828558
ENSOCUG00000000001	rabK7	RHDV-1_12	kitten	6.35648006140077
ENSOCUG00000000001	rabK8	RHDV-1_24	kitten	4.9368303451076
ENSOCUG00000000001	rabK9	control	kitten	5.61286390729324
ENSOCUG00000000031	rabA130	control	adult	0
ENSOCUG00000000031	rabA440	control	adult	0.16661610614435
ENSOCUG00000000031	rabA443	RHDV-1_24	adult	0.378091593972151
ENSOCUG00000000031	rabA444	RHDV-1_12	adult	0.15680241044456
ENSOCUG00000000031	rabA445	control	adult	0.100405597931117
ENSOCUG00000000031	rabA446	control	adult	0.0643080934543973
ENSOCUG00000000031	rabA447	control	adult	0.269880932939587
ENSOCUG00000000031	rabA448	RHDV-1_24	adult	1.32799728730189
ENSOCUG00000000031	rabA449	RHDV-1_24	adult	0.532018786026518
ENSOCUG00000000031	rabA450	RHDV-1_24	adult	0.523216462714323
ENSOCUG00000000031	rabA451	RHDV-1_12	adult	0.266423319078054
ENSOCUG00000000031	rabA452	RHDV-1_12	adult	0.140548998021786
ENSOCUG00000000031	rabK10	RHDV-1_24	kitten	9.7705496320119
ENSOCUG00000000031	rabK11	control	kitten	12.642390342501
ENSOCUG00000000031	rabK12	control	kitten	9.14813278423085
ENSOCUG00000000031	rabK13	RHDV-1_12	kitten	4.71679150053496
ENSOCUG00000000031	rabK14	control	kitten	4.5637460282668
ENSOCUG00000000031	rabK1	RHDV-1_12	kitten	1.94806228189962
ENSOCUG00000000031	rabK2	control	kitten	2.34152079362669
ENSOCUG00000000031	rabK375	RHDV-2_24	kitten	0.407983417521048
ENSOCUG00000000031	rabK376	RHDV-2_24	kitten	0.112630969943203
ENSOCUG00000000031	rabK377	RHDV-2_24	kitten	0.83351517895075
ENSOCUG00000000031	rabK378	RHDV-2_24	kitten	0.603496076128981
ENSOCUG00000000031	rabK379	RHDV-2_12	kitten	0.585203380630754
ENSOCUG00000000031	rabK380	RHDV-2_12	kitten	0.795522887700026
ENSOCUG00000000031	rabK381	RHDV-2_12	kitten	0.520463528195413
ENSOCUG00000000031	rabK3	control	kitten	1.98240311611966
ENSOCUG00000000031	rabK4	RHDV-1_24	kitten	1.17059475946268
ENSOCUG00000000031	rabK5	RHDV-1_12	kitten	1.98127078838821
ENSOCUG00000000031	rabK6	RHDV-1_24	kitten	1.36804727167985
ENSOCUG00000000031	rabK7	RHDV-1_12	kitten	0.990620269309212
ENSOCUG00000000031	rabK8	RHDV-1_24	kitten	0.39670958130329
ENSOCUG00000000031	rabK9	control	kitten	4.81733988893671
ENSOCUG00000000032	rabA130	control	adult	5.47562808800568
ENSOCUG00000000032	rabA440	control	adult	5.66494760890788
ENSOCUG00000000032	rabA443	RHDV-1_24	adult	7.81389294209112
ENSOCUG00000000032	rabA444	RHDV-1_12	adult	5.95849159689328
ENSOCUG00000000032	rabA445	control	adult	8.68508422104163
ENSOCUG00000000032	rabA446	control	adult	4.05140988762703
ENSOCUG00000000032	rabA447	control	adult	8.90607078700638
ENSOCUG00000000032	rabA448	RHDV-1_24	adult	5.85881156162597
ENSOCUG00000000032	rabA449	RHDV-1_24	adult	3.19211271615911
ENSOCUG00000000032	rabA450	RHDV-1_24	adult	3.82350491983544
ENSOCUG00000000032	rabA451	RHDV-1_12	adult	3.99634978617082
ENSOCUG00000000032	rabA452	RHDV-1_12	adult	4.49756793669714
ENSOCUG00000000032	rabK10	RHDV-1_24	kitten	3.02293248283241
ENSOCUG00000000032	rabK11	control	kitten	3.40977332889032
ENSOCUG00000000032	rabK12	control	kitten	6.59865315583864
ENSOCUG00000000032	rabK13	RHDV-1_12	kitten	8.26969938405479
ENSOCUG00000000032	rabK14	control	kitten	6.00492898456158
ENSOCUG00000000032	rabK1	RHDV-1_12	kitten	3.72296347207483
ENSOCUG00000000032	rabK2	control	kitten	1.91018801585335
ENSOCUG00000000032	rabK375	RHDV-2_24	kitten	1.34051694328344
ENSOCUG00000000032	rabK376	RHDV-2_24	kitten	3.71682200812569
ENSOCUG00000000032	rabK377	RHDV-2_24	kitten	3.98235029943136
ENSOCUG00000000032	rabK378	RHDV-2_24	kitten	3.50027724154809
ENSOCUG00000000032	rabK379	RHDV-2_12	kitten	14.8739192576983
ENSOCUG00000000032	rabK380	RHDV-2_12	kitten	7.38068456921691
ENSOCUG00000000032	rabK381	RHDV-2_12	kitten	18.3649273520381
ENSOCUG00000000032	rabK3	control	kitten	6.2625916622871
ENSOCUG00000000032	rabK4	RHDV-1_24	kitten	3.51178427838804
ENSOCUG00000000032	rabK5	RHDV-1_12	kitten	3.38265744358963
ENSOCUG00000000032	rabK6	RHDV-1_24	kitten	2.540659218834
ENSOCUG00000000032	rabK7	RHDV-1_12	kitten	8.00751384358279
ENSOCUG00000000032	rabK8	RHDV-1_24	kitten	5.68617066534715
ENSOCUG00000000032	rabK9	control	kitten	3.49146652500918
ENSOCUG00000000059	rabA130	control	adult	9.72030102444419
ENSOCUG00000000059	rabA440	control	adult	10.8300468993827
ENSOCUG00000000059	rabA443	RHDV-1_24	adult	5.67137390958226
ENSOCUG00000000059	rabA444	RHDV-1_12	adult	7.76171931700573
ENSOCUG00000000059	rabA445	control	adult	10.0907625920773
ENSOCUG00000000059	rabA446	control	adult	5.72342031744136
ENSOCUG00000000059	rabA447	control	adult	9.17595171994597
ENSOCUG00000000059	rabA448	RHDV-1_24	adult	9.21786352362485
ENSOCUG00000000059	rabA449	RHDV-1_24	adult	9.68274190568263
ENSOCUG00000000059	rabA450	RHDV-1_24	adult	10.1825973128249
ENSOCUG00000000059	rabA451	RHDV-1_12	adult	9.32481616773191
ENSOCUG00000000059	rabA452	RHDV-1_12	adult	10.6817238496557
ENSOCUG00000000059	rabK10	RHDV-1_24	kitten	8.96083557411036
ENSOCUG00000000059	rabK11	control	kitten	7.6064174259861
ENSOCUG00000000059	rabK12	control	kitten	6.59865315583864
ENSOCUG00000000059	rabK13	RHDV-1_12	kitten	5.26810479280527
ENSOCUG00000000059	rabK14	control	kitten	7.25395421335039
ENSOCUG00000000059	rabK1	RHDV-1_12	kitten	5.93076739156107
ENSOCUG00000000059	rabK2	control	kitten	6.59322960310672
ENSOCUG00000000059	rabK375	RHDV-2_24	kitten	6.64430137105708
ENSOCUG00000000059	rabK376	RHDV-2_24	kitten	7.48995950122298
ENSOCUG00000000059	rabK377	RHDV-2_24	kitten	5.64938065733286
ENSOCUG00000000059	rabK378	RHDV-2_24	kitten	9.23348996477341
ENSOCUG00000000059	rabK379	RHDV-2_12	kitten	6.19340244500881
ENSOCUG00000000059	rabK380	RHDV-2_12	kitten	11.093124711817
ENSOCUG00000000059	rabK381	RHDV-2_12	kitten	22.5286355776014
ENSOCUG00000000059	rabK3	control	kitten	7.83950323192773
ENSOCUG00000000059	rabK4	RHDV-1_24	kitten	8.45429548500825
ENSOCUG00000000059	rabK5	RHDV-1_12	kitten	7.82843579802171
ENSOCUG00000000059	rabK6	RHDV-1_24	kitten	6.54708337161069
ENSOCUG00000000059	rabK7	RHDV-1_12	kitten	8.8330307346738
ENSOCUG00000000059	rabK8	RHDV-1_24	kitten	9.38879342417786
ENSOCUG00000000059	rabK9	control	kitten	4.99412300412705
ENSOCUG00000000074	rabA130	control	adult	3.1410579729645
ENSOCUG00000000074	rabA440	control	adult	5.66494760890788
ENSOCUG00000000074	rabA443	RHDV-1_24	adult	6.36454183186454
ENSOCUG00000000074	rabA444	RHDV-1_12	adult	6.19369521256013
ENSOCUG00000000074	rabA445	control	adult	4.9700770975903
ENSOCUG00000000074	rabA446	control	adult	5.98065269125895
ENSOCUG00000000074	rabA447	control	adult	6.96292806984135
ENSOCUG00000000074	rabA448	RHDV-1_24	adult	8.98351106115982
ENSOCUG00000000074	rabA449	RHDV-1_24	adult	7.87387803319247
ENSOCUG00000000074	rabA450	RHDV-1_24	adult	5.4334017281872
ENSOCUG00000000074	rabA451	RHDV-1_12	adult	4.36934243288009
ENSOCUG00000000074	rabA452	RHDV-1_12	adult	8.66718821134345
ENSOCUG00000000074	rabK10	RHDV-1_24	kitten	28.4479539009407
ENSOCUG00000000074	rabK11	control	kitten	36.563261695947
ENSOCUG00000000074	rabK12	control	kitten	36.6675158318761
ENSOCUG00000000074	rabK13	RHDV-1_12	kitten	21.0111621387466
ENSOCUG00000000074	rabK14	control	kitten	14.4118295629478
ENSOCUG00000000074	rabK1	RHDV-1_12	kitten	14.1992095214017
ENSOCUG00000000074	rabK2	control	kitten	11.2146522221068
ENSOCUG00000000074	rabK375	RHDV-2_24	kitten	6.11975126281573
ENSOCUG00000000074	rabK376	RHDV-2_24	kitten	4.50523879772811
ENSOCUG00000000074	rabK377	RHDV-2_24	kitten	7.22379821757316
ENSOCUG00000000074	rabK378	RHDV-2_24	kitten	4.52622057096736
ENSOCUG00000000074	rabK379	RHDV-2_12	kitten	6.43723718693829
ENSOCUG00000000074	rabK380	RHDV-2_12	kitten	7.91103316101692
ENSOCUG00000000074	rabK381	RHDV-2_12	kitten	6.91472973173905
ENSOCUG00000000074	rabK3	control	kitten	14.8680233708974
ENSOCUG00000000074	rabK4	RHDV-1_24	kitten	10.3185760278562
ENSOCUG00000000074	rabK5	RHDV-1_12	kitten	13.8688955187175
ENSOCUG00000000074	rabK6	RHDV-1_24	kitten	12.2147077828558
ENSOCUG00000000074	rabK7	RHDV-1_12	kitten	11.0619263406195
ENSOCUG00000000074	rabK8	RHDV-1_24	kitten	9.08024152760863
ENSOCUG00000000074	rabK9	control	kitten	18.827401767771
ENSOCUG00000000123	rabA130	control	adult	13.116039373595
ENSOCUG00000000123	rabA440	control	adult	7.33110867035138
ENSOCUG00000000123	rabA443	RHDV-1_24	adult	7.93992347341517
